AMD; AM27128 (21V);DIP 28 ;737;
AMD; AM27128A (12.5V);DIP 28 ;738;0x0: 0x1, 0x1: 0x89
AMD; AM27128A (12.5V);PLCC 32 ;739;0x0: 0x1, 0x1: 0x89
AMD; AM2716 (25V);DIP 24 ;6111;
AMD; AM2716B (12.5V);DIP 24 ;4630;0x0: 0x1, 0x1: 0x86
AMD; AM27256 (13V);DIP 28 ;744;0x0: 0x1, 0x1: 0x4
AMD; AM27256 (13V);PLCC 32 ;745;0x0: 0x1, 0x1: 0x4
AMD; AM2732 (25V);DIP 24 ;2186;
AMD; AM2732A (21V);DIP 24 ;774;
AMD; AM2732B (12.5V);DIP 24 ;748;0x0: 0x1, 0x1: 0x7
AMD; AM2732B (12.5V);PLCC 32 ;749;0x0: 0x1, 0x1: 0x7
AMD; AM27512 (13V);DIP 28 ;1223;0x0: 0x1, 0x1: 0x85
AMD; AM2764 (12.5V);DIP 28 ;3541;
AMD; AM2764 (12.5V);PLCC 32 ;3542;
AMD; AM2764A (12.5V);DIP 28 ;746;
AMD; AM2764A (12.5V);PLCC 32 ;747;
AMD; AM27C010;DIP 32 ;600;0x0: 0x1, 0x1: 0xE
AMD; AM27C010;PLCC 32 ;601;0x0: 0x1, 0x1: 0xE
AMD; AM27C020;DIP 32 ;731;0x0: 0x1, 0x1: 0x97
AMD; AM27C020;PLCC 32 ;750;0x0: 0x1, 0x1: 0x97
AMD; AM27C040;DIP 32 ;582;0x0: 0x1, 0x1: 0x9B
AMD; AM27C040;PLCC 32 ;583;0x0: 0x1, 0x1: 0x9B
AMD; AM27C080;DIP 32 ;751;
AMD; AM27C080;PLCC 32 ;752;
AMD; AM27C1024;DIP 40 ;755;0x0: 0x1, 0x1: 0x8C
AMD; AM27C1024;PLCC 44 ;756;0x0: 0x1, 0x1: 0x8C
AMD; AM27C128;DIP 28 ;758;0x0: 0x1, 0x1: 0x16
AMD; AM27C128;PLCC 32 ;759;0x0: 0x1, 0x1: 0x16
AMD; AM27C2048;DIP 40 ;760;0x0: 0x1, 0x1: 0x98
AMD; AM27C2048;PLCC 44 ;761;0x0: 0x1, 0x1: 0x98
AMD; AM27C256;DIP 28 ;628;0x0: 0x1, 0x1: 0x10
AMD; AM27C256;PLCC 32 ;629;0x0: 0x1, 0x1: 0x10
AMD; AM27C400;DIP 40 ;3830;0x0: 0x1, 0x1: 0x9D
AMD; AM27C400;PLCC 44 ;3831;0x0: 0x1, 0x1: 0x9D
AMD; AM27C4096;DIP 40 ;925;0x0: 0x1, 0x1: 0x19
AMD; AM27C4096;PLCC 44 ;926;0x0: 0x1, 0x1: 0x19
AMD; AM27C512;DIP 28 ;613;0x0: 0x1, 0x1: 0x91
AMD; AM27C512;PLCC 32 ;614;0x0: 0x1, 0x1: 0x91
AMD; AM27C64;DIP 28 ;913;0x0: 0x1, 0x1: 0x15
AMD; AM27C64;PLCC 32 ;914;0x0: 0x1, 0x1: 0x15
AMD; AM27H010;DIP 32 ;767;0x0: 0x1, 0x1: 0xE
AMD; AM27H010;PLCC 32 ;768;0x0: 0x1, 0x1: 0xE
AMD; AM27H256;DIP 28 ;812;0x0: 0x1, 0x1: 0x10
AMD; AM27H256;PLCC 32 ;813;0x0: 0x1, 0x1: 0x10
AMD; AM27LV010;DIP 32 ;814;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010;PLCC 32 ;815;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010;TSOP 32 (8x20mm) ;816;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010B;DIP 32 ;819;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010B;PLCC 32 ;820;0x0: 0x1, 0x1: 0xE
AMD; AM27LV010B;TSOP 32 (8x20mm) ;821;0x0: 0x1, 0x1: 0xE
AMD; AM27LV020;DIP 32 ;817;0x0: 0x1, 0x1: 0x97
AMD; AM27LV020;PLCC 32 ;818;0x0: 0x1, 0x1: 0x97
AMD; AM27LV020B;DIP 32 ;822;0x0: 0x1, 0x1: 0x97
AMD; AM27LV020B;PLCC 32 ;823;0x0: 0x1, 0x1: 0x97
AMD; AM27S43;DIP 24 ;7093;
AMD; AM27S43;LCC 28 ;7096;
AMD; AM27S43;LCC 32 ;7095;
AMD; AM27S43A;DIP 24 ;7093;
AMD; AM27S43A;LCC 28 ;7096;
AMD; AM27S43A;LCC 32 ;7095;
AMD; AM2864AE;DIP 28 ;2835;0x0: 0x1, 0x1: 0x8A
AMD; AM2864AE;PLCC 32 ;2836;0x0: 0x1, 0x1: 0x8A
AMD; AM28F010;DIP 32 ;1159;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010;PLCC 32 ;1160;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010;TSOP 32 (8x20mm) ;1162;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010;TSOP 32 (8x20mm) Reverse;1161;0x0: 0x1, 0x1: 0xA7
AMD; AM28F010A;DIP 32 ;1163;0x0: 0x1, 0x1: 0xA2
AMD; AM28F010A;PLCC 32 ;1164;0x0: 0x1, 0x1: 0xA2
AMD; AM28F010A;TSOP 32 (8x20mm) ;1166;0x0: 0x1, 0x1: 0xA2
AMD; AM28F010A;TSOP 32 (8x20mm) Reverse;1165;0x0: 0x1, 0x1: 0xA2
AMD; AM28F020;DIP 32 ;1167;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020;PLCC 32 ;1168;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020;TSOP 32 (8x20mm) ;1170;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020;TSOP 32 (8x20mm) Reverse;1169;0x0: 0x1, 0x1: 0x2A
AMD; AM28F020A;DIP 32 ;1171;0x0: 0x1, 0x1: 0x29
AMD; AM28F020A;PLCC 32 ;1172;0x0: 0x1, 0x1: 0x29
AMD; AM28F020A;TSOP 32 (8x20mm) ;1174;0x0: 0x1, 0x1: 0x29
AMD; AM28F020A;TSOP 32 (8x20mm) Reverse;1173;0x0: 0x1, 0x1: 0x29
AMD; AM28F256;DIP 32 ;2238;0x0: 0x1, 0x1: 0xA1
AMD; AM28F256;PLCC 32 ;2239;0x0: 0x1, 0x1: 0xA1
AMD; AM28F256;TSOP 32 (8x20mm) ;2240;0x0: 0x1, 0x1: 0xA1
AMD; AM28F512;DIP 32 ;1175;0x0: 0x1, 0x1: 0x25
AMD; AM28F512;PLCC 32 ;1176;0x0: 0x1, 0x1: 0x25
AMD; AM28F512;TSOP 32 (8x20mm) ;1178;0x0: 0x1, 0x1: 0x25
AMD; AM28F512;TSOP 32 (8x20mm) Reverse;1177;0x0: 0x1, 0x1: 0x25
AMD; AM28F512A;DIP 32 ;1179;0x0: 0x1, 0x1: 0xAE
AMD; AM28F512A;PLCC 32 ;1180;0x0: 0x1, 0x1: 0xAE
AMD; AM28F512A;TSOP 32 (8x20mm) ;1182;0x0: 0x1, 0x1: 0xAE
AMD; AM28F512A;TSOP 32 (8x20mm) Reverse;1181;0x0: 0x1, 0x1: 0xAE
